keys,en,cs,sk,de,es,fi,fr,nb,pl,sv,pt_BR,pt_PT,it,da,nl,ja,ko,tr,vi,id
SETTINGS_HAPTICS_OFF_ACCESSIBLE,Vibration is off,Vibrace jsou vypnuté,Vibrácie sú vypnuté,Vibration ist aus,La vibración está desactivada,Värinä on pois päältä,La vibration est désactivée,Vibrasjonen er av,Wibracje są wyłączone,Vibrationen är av,A vibração está desligada,A vibração está desligada,La vibrazione è disattivata,Vibration er slået fra,Trillen staat uit,振動はオフです,진동이 꺼져 있습니다,Titreşim kapalı,Chế độ rung đang tắt,Getaran nonaktif
SETTINGS_VOLUME_VALUE,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,{value}%,%{value},{value}%,{value}%
SETTINGS_HINT,Changes are saved on this device.,Změny se ukládají v tomto zařízení.,Zmeny sa ukladajú v tomto zariadení.,Änderungen werden auf diesem Gerät gespeichert.,Los cambios se guardan en este dispositivo.,Muutokset tallennetaan tälle laitteelle.,Les changements sont enregistrés sur cet appareil.,Endringene lagres på denne enheten.,Zmiany są zapisywane na tym urządzeniu.,Ändringarna sparas på den här enheten.,As alterações são salvas neste dispositivo.,As alterações são guardadas neste dispositivo.,Le modifiche vengono salvate su questo dispositivo.,Ændringer gemmes på denne enhed.,Wijzigingen worden op dit apparaat opgeslagen.,変更はこの端末に保存されます。,변경 사항은 이 기기에 저장됩니다.,Değişiklikler bu cihazda kaydedilir.,Các thay đổi được lưu trên thiết bị này.,Perubahan disimpan di perangkat ini.
SETTINGS_BACK_ACCESSIBLE,Return to the previous screen,Zpět na předchozí obrazovku,Späť na predchádzajúcu obrazovku,Zurück zum vorherigen Bildschirm,Volver a la pantalla anterior,Takaisin edelliseen näkymään,Retour à l'écran précédent,Tilbake til forrige skjerm,Powrót do poprzedniego ekranu,Tillbaka till föregående skärm,Voltar à tela anterior,Voltar ao ecrã anterior,Torna alla schermata precedente,Tilbage til forrige skærm,Terug naar het vorige scherm,前の画面に戻る,이전 화면으로 돌아가기,Önceki ekrana dön,Quay lại màn hình trước,Kembali ke layar sebelumnya
SETTINGS_EXIT,Close game,Ukončit hru,Ukončiť hru,Spiel beenden,Cerrar el juego,Sulje peli,Quitter le jeu,Avslutt spillet,Zamknij grę,Avsluta spelet,Fechar jogo,Fechar jogo,Chiudi il gioco,Luk spillet,Spel sluiten,ゲームを終了,게임 종료,Oyunu kapat,Đóng trò chơi,Tutup game
SETTINGS_EXIT_TITLE,Close Numblop?,Ukončit Numblopa?,Ukončiť Numblopa?,Numblop beenden?,¿Cerrar Numblop?,Suljetaanko Numblop?,Quitter Numblop ?,Avslutte Numblop?,Zamknąć Numblopa?,Avsluta Numblop?,Fechar o Numblop?,Fechar o Numblop?,Chiudere Numblop?,Luk Numblop?,Numblop sluiten?,Numblopを終了しますか？,Numblop을 종료할까요?,Numblop kapatılsın mı?,Đóng Numblop?,Tutup Numblop?
SETTINGS_EXIT_CONFIRM,Do you want to close the game?,Chceš ukončit hru?,Chceš ukončiť hru?,Möchtest du das Spiel beenden?,¿Quieres cerrar el juego?,Haluatko sulkea pelin?,Veux-tu quitter le jeu ?,Vil du avslutte spillet?,Czy chcesz zamknąć grę?,Vill du avsluta spelet?,Quer fechar o jogo?,Queres fechar o jogo?,Vuoi chiudere il gioco?,Vil du lukke spillet?,Wil je het spel sluiten?,ゲームを終了しますか？,게임을 종료할까요?,Oyunu kapatmak istiyor musun?,Bạn có muốn đóng trò chơi không?,Apakah kamu ingin menutup game?
SETTINGS_EXIT_YES,Close,Ukončit,Ukončiť,Beenden,Cerrar,Sulje,Quitter,Avslutt,Zamknij,Avsluta,Fechar,Fechar,Chiudi,Luk,Sluiten,終了,종료,Kapat,Đóng,Tutup
SETTINGS_EXIT_CANCEL,Keep playing,Pokračovat ve hře,Pokračovať v hre,Weiterspielen,Seguir jugando,Jatka pelaamista,Continuer à jouer,Fortsett å spille,Graj dalej,Fortsätt spela,Continuar jogando,Continuar a jogar,Continua a giocare,Spil videre,Doorgaan met spelen,ゲームを続ける,계속 플레이,Oynamaya devam et,Tiếp tục chơi,Lanjut bermain
SETTINGS_CLOUD,Backup,Záloha,Záloha,Backup,Copia,Pilvi,Sauvegarde,Backup,Kopia,Backup,Backup,Cópia de segurança,Backup,Sikkerhedskopi,Back-up,バックアップ,백업,Yedekleme,Sao lưu,Cadangan
SETTINGS_CLOUD_OFF,Backup off,Záloha vypnutá,Záloha vypnutá,Backup aus,Copia desactivada,Varmuuskopio pois,Sauvegarde désactivée,Sikkerhetskopi av,Kopia wyłączona,Säkerhetskopia av,Backup desligado,Cópia desligada,Backup disattivato,Sikkerhedskopi fra,Back-up uit,バックアップ：オフ,백업 꺼짐,Yedekleme kapalı,Sao lưu đang tắt,Cadangan nonaktif
SETTINGS_CLOUD_SIGN_IN,Sign in,Přihlásit,Prihlásiť,Anmelden,Iniciar sesión,Kirjaudu,Se connecter,Logg på,Zaloguj się,Logga in,Fazer login,Iniciar sessão,Accedi,Log ind,Inloggen,ログイン,로그인,Oturum aç,Đăng nhập,Login
SETTINGS_CLOUD_SYNCING,Saving…,Ukládám…,Ukladám…,Speichern…,Guardando…,Tallennetaan…,Enregistrement…,Lagrer…,Zapisywanie…,Sparar…,Salvando…,A guardar…,Salvataggio…,Gemmer…,Opslaan…,保存中…,저장 중…,Kaydediliyor…,Đang lưu…,Menyimpan…
SETTINGS_CLOUD_ON,Backup on,Záloha zapnutá,Záloha zapnutá,Backup an,Copia activada,Varmuuskopio päällä,Sauvegarde activée,Sikkerhetskopi på,Kopia włączona,Säkerhetskopia på,Backup ligado,Cópia ligada,Backup attivato,Sikkerhedskopi til,Back-up aan,バックアップ：オン,백업 켜짐,Yedekleme açık,Sao lưu đang bật,Cadangan aktif
SETTINGS_CLOUD_ATTENTION,Check backup,Zkontrolovat zálohu,Skontrolovať zálohu,Backup prüfen,Revisar copia,Tarkista varmuuskopio,Vérifier la sauvegarde,Sjekk sikkerhetskopi,Sprawdź kopię,Kontrollera kopian,Verificar backup,Verificar cópia,Controlla il backup,Tjek sikkerhedskopi,Back-up controleren,バックアップを確認,백업 확인,Yedeklemeyi kontrol et,Kiểm tra sao lưu,Periksa cadangan
SETTINGS_CLOUD_DIALOG_TITLE,Cloud backup,Záloha postupu,Záloha postupu,Cloud-Backup,Copia en la nube,Pilvivarmuuskopio,Sauvegarde cloud,Sikkerhetskopi i skyen,Kopia w chmurze,Molnsäkerhetskopia,Backup na nuvem,Cópia de segurança na nuvem,Backup sul cloud,Sikkerhedskopi i skyen,Cloudback-up,クラウドバックアップ,클라우드 백업,Bulut yedekleme,Sao lưu đám mây,Cadangan cloud
SETTINGS_CLOUD_DIALOG_MESSAGE,Sign in to Google Play Games to restore progress after reinstalling. You can keep playing offline.,Přihlaste se do Her Google Play a postup půjde obnovit po přeinstalaci. Dál můžete hrát offline.,Prihláste sa do Hier Google Play a postup sa bude dať obnoviť po preinštalovaní. Naďalej môžete hrať offline.,Melde dich bei Google Play Spiele an damit dein Fortschritt nach einer Neuinstallation wiederhergestellt werden kann. Du kannst weiter offline spielen.,Inicia sesión en Google Play Juegos para restaurar el progreso después de reinstalar. Puedes seguir jugando sin conexión.,Kirjaudu Google Play Peleihin jotta edistyminen voidaan palauttaa uudelleenasennuksen jälkeen. Voit jatkaa pelaamista ilman verkkoyhteyttä.,Connectez-vous à Google Play Jeux pour restaurer votre progression après une réinstallation. Vous pouvez continuer à jouer hors ligne.,Logg på Google Play Spill for å gjenopprette fremgangen etter en ny installasjon. Du kan fortsette å spille uten nett.,Zaloguj się do Gier Google Play aby odzyskać postępy po ponownej instalacji. Możesz nadal grać offline.,Logga in på Google Play Spel för att återställa framsteg efter en ominstallation. Du kan fortsätta spela offline.,Faça login no Google Play Games para restaurar o progresso após reinstalar. Você pode continuar jogando offline.,Inicia sessão no Google Play Games para restaurar o progresso depois de reinstalares. Podes continuar a jogar offline.,Accedi a Google Play Giochi per ripristinare i progressi dopo una reinstallazione. Puoi continuare a giocare offline.,Log ind på Google Play Spil for at gendanne fremskridt efter en geninstallation. Du kan fortsat spille offline.,Log in bij Google Play Games om je voortgang na een herinstallatie te herstellen. Je kunt offline blijven spelen.,再インストール後に進み具合を復元するにはGoogle Play Gamesにログインしてください。オフラインでも遊び続けられます。,재설치 후 진행 상황을 복원하려면 Google Play 게임에 로그인하세요. 오프라인에서도 계속 플레이할 수 있습니다.,Yeniden yükledikten sonra ilerlemeyi geri getirmek için Google Play Games'de oturum aç. Çevrimdışı oynamaya devam edebilirsin.,Đăng nhập Google Play Games để khôi phục tiến trình sau khi cài đặt lại. Bạn vẫn có thể tiếp tục chơi ngoại tuyến.,Login ke Google Play Game untuk memulihkan progres setelah menginstal ulang. Kamu tetap dapat bermain offline.
SETTINGS_CLOUD_DIALOG_SIGN_IN,Sign in,Přihlásit,Prihlásiť,Anmelden,Iniciar sesión,Kirjaudu,Se connecter,Logg på,Zaloguj się,Logga in,Fazer login,Iniciar sessão,Accedi,Log ind,Inloggen,ログイン,로그인,Oturum aç,Đăng nhập,Login
SETTINGS_CLOUD_DIALOG_TURN_OFF,Turn off,Vypnout,Vypnúť,Ausschalten,Desactivar,Poista käytöstä,Désactiver,Slå av,Wyłącz,Stäng av,Desligar,Desligar,Disattiva,Slå fra,Uitschakelen,オフにする,끄기,Kapat,Tắt,Nonaktifkan
SETTINGS_CLOUD_ON_ACCESSIBLE,Backup is on and signed in,Záloha je zapnutá a přihlášená,Záloha je zapnutá a prihlásená,Backup ist an und angemeldet,La copia está activada y con sesión iniciada,Varmuuskopiointi on päällä ja kirjautunut,La sauvegarde est activée et connectée,Sikkerhetskopi er på og innlogget,Kopia jest włączona i zalogowana,Säkerhetskopian är på och inloggad,O backup está ligado e a conta está conectada,A cópia está ligada e a sessão foi iniciada,Il backup è attivo e l'accesso è stato effettuato,Sikkerhedskopi er slået til og du er logget ind,Back-up staat aan en je bent ingelogd,バックアップはオンでログイン済みです,백업이 켜져 있고 로그인되어 있습니다,Yedekleme açık ve oturum açıldı,Sao lưu đang bật và đã đăng nhập,Cadangan aktif dan sudah login
SETTINGS_CLOUD_WAITING_ACCESSIBLE,Backup is on but not signed in,Záloha je zapnutá ale nepřihlášená,Záloha je zapnutá ale neprihlásená,Backup ist an aber nicht angemeldet,La copia está activada pero sin sesión iniciada,Varmuuskopiointi on päällä mutta ei kirjautunut,La sauvegarde est activée mais non connectée,Sikkerhetskopi er på men ikke innlogget,Kopia jest włączona ale niezalogowana,Säkerhetskopian är på men inte inloggad,O backup está ligado mas a conta não está conectada,A cópia está ligada mas a sessão não foi iniciada,Il backup è attivo ma l'accesso non è stato effettuato,Sikkerhedskopi er slået til men du er ikke logget ind,Back-up staat aan maar je bent niet ingelogd,バックアップはオンですがログインしていません,백업이 켜져 있지만 로그인되지 않았습니다,Yedekleme açık ama oturum açılmadı,Sao lưu đang bật nhưng chưa đăng nhập,Cadangan aktif tetapi belum login
SETTINGS_CLOUD_OFF_ACCESSIBLE,Backup is off,Záloha je vypnutá,Záloha je vypnutá,Backup ist aus,La copia está desactivada,Varmuuskopiointi on pois päältä,La sauvegarde est désactivée,Sikkerhetskopi er av,Kopia jest wyłączona,Säkerhetskopian är av,O backup está desligado,A cópia de segurança está desligada,Il backup è disattivato,Sikkerhedskopi er slået fra,Back-up staat uit,バックアップはオフです,백업이 꺼져 있습니다,Yedekleme kapalı,Sao lưu đang tắt,Cadangan nonaktif
SETTINGS_CLOUD_ATTENTION_ACCESSIBLE,Backup needs attention; progress is safe on this device,Záloha vyžaduje pozornost; postup je v tomto zařízení v bezpečí,Záloha vyžaduje pozornosť; postup je v tomto zariadení v bezpečí,Backup braucht Aufmerksamkeit; der Fortschritt ist auf diesem Gerät sicher,La copia necesita atención; el progreso está seguro en este dispositivo,Varmuuskopiointi vaatii huomiota; edistyminen on turvassa tällä laitteella,La sauvegarde nécessite votre attention ; la progression est en sécurité sur cet appareil,Sikkerhetskopien trenger tilsyn; fremdriften er trygg på denne enheten,Kopia wymaga uwagi; postępy są bezpieczne na tym urządzeniu,Säkerhetskopian behöver ses över; framstegen är säkra på den här enheten,O backup precisa de atenção; o progresso está seguro neste dispositivo,A cópia precisa de atenção; o progresso está seguro neste dispositivo,Il backup richiede attenzione; i progressi sono al sicuro su questo dispositivo,Sikkerhedskopien kræver opmærksomhed; fremskridt er sikre på denne enhed,De back-up vereist aandacht; je voortgang is veilig op dit apparaat,バックアップを確認してください。進み具合はこの端末に安全に保存されています,백업을 확인해야 합니다. 진행 상황은 이 기기에 안전하게 저장되어 있습니다,Yedeklemeyle ilgilenmen gerekiyor; ilerlemen bu cihazda güvende,Cần kiểm tra bản sao lưu; tiến trình vẫn an toàn trên thiết bị này,Cadangan perlu diperiksa; progres aman di perangkat ini
SETTINGS_PRIVACY,Privacy,Soukromí,Súkromie,Datenschutz,Privacidad,Tietosuoja,Confidentialité,Personvern,Prywatność,Integritet,Privacidade,Privacidade,Privacy,Privatliv,Privacy,プライバシー,개인정보 보호,Gizlilik,Quyền riêng tư,Privasi
